Argument,Label
The universe would be better without humans because humans are naturally selfish.,Argument From Values
Humans are the only ones that set aside stocks of resources for medium term use. This causes continued extraction/exploitation of the Earth in excess of current needs.,Argument From Cause to Effect
"While humans and animals must consume to survive, human beings are immoral because they are intelligent enough to survive without killing yet continue
to harm other species.",Argument From Values
The universe probably isn't anthropocentric.,Argument From Values
"""Better"" is a value claim. The post-human universe may not make the same value judgement given that humans are an outcome of the evolving universe.",Argument From Values
"Selfishness has been associated with evolutionary advantages for many species, making the universe partially responsible for the selfishness of organisms that develop within it.",Argument From Cause to Effect
The link between evolutionary selection and selfishness has been overturned due to recent findings that evolutionary pressures to cooperate and act selflessly are stronger.,Argument From Expert Opinion
"Nature causes irreparable damage to itself as well as constant harm, pain, and suffering to other living organisms without any help from humans.
 None of this can be avoided without humans.",Argument From Cause to Effect
Whenever human populations expand they take more land away from wild habitats which heavily restricts the freedom of all living organisms in that habitat often leading to many deaths as well.,Argument From Example
"Domesticated animals have no natural freedoms, they are almost entirely stripped away for the purpose of production for humans",Argument From Example
Humans also provide a habitat for billions of living organisms that reside in our bodies. Many of these creatures would go extinct without humans.,Argument From Positive Consequences
"Not all animals suffer or feel pain, and thus cannot feel the effects of a loss of autonomy.",Argument From Cause to Effect
"Suffering should be put in the context of the complexity of the nervous system. Animals tend to have less complex nervous systems than human beings,
 which implies that they have a reduced capacity for suffering.",Argument From Cause to Effect
Scientists studying other creatures are constantly discovering how much more complex other life forms are than previously assumed.,Argument From Expert Opinion
"Many cephalopods, decapods, and other invertebrates feel pain, debunking the previous understanding of their nature.",Argument From Example
All of humanity need not necessarily contribute to a cataclysmic event. It only takes a handful of individuals to use nuclear weapons for most life to be destroyed on the planet.,Argument From Cause to Effect
"Value judgements are only relevant for human beings who assign value, meaning that the Earth cannot be better or worse without human beings to make value judgments about it.",Argument From Values
If the world would be better or worse is subjective as those things aren't intrinsic qualities of something.,Argument From Values
"There are general or pragmatic standards for Earthly wellness, like the stability of weather patterns or the preservation of species, that could be adopted without falling into naive subjectivism.",Argument From Values
"If the species making such a judgement does not exist and therefore cannot ascertain a value, it is impossible for the Earth to be better off.",Argument From Cause to Effect
"The point of judging our existence on Earth is for humans to decide whether or not our presence is better than our absence. The question is an internal reflection, not outwardly asking the Earth itself.",Argument From Values
Removing humans from the picture would most likely benefit the remaining conscious beings on the planet.,Argument From Positive Consequences
"All human suffering would be eliminated without humans. In this manner, the world would in fact be better, even if only in the eyes of the humans who lived prior to their extinction.",Argument From Positive Consequences
"Humans are the most advanced species that has ever been on Earth, and humanity is still evolving. Removing humanity from existence would eliminate this progress.",Argument From Negative Consequences
"Humans might be the most advanced species in the entire universe. If humanity did not exist, the universe could lose the species with the most advanced consciousness.",Argument From Cause to Effect
"In near future, humanity could develop a reliable technological ability to protect the planet and life from extinction events.",Argument From Positive Consequences
"Humans have created a unique set of values, cultures, and traditions in a way that only they could. To say the world would be a better place without humans is to fail to take into account the complex and rich culture of every human society.",Argument From Example
These technological advancements have no inherent value to the universe and are only of limited value to humans.,Argument From Values
"Just because humans are the most advanced species, doesn't mean we make the Earth better. We are too smart for our own good- we create factories and cars and such that just destroy our atmosphere.",Argument From Example
Removing humans means giving chance for new intelligent life to develop.,Argument From Positive Consequences
"In the cosmic perspective of life, there is no absolute sense of ""good"" and ""bad"".That's a human-created concept that wouldn't matter if humans were eradicated. Therefore, it makes humanity's existence irrelevant.",Argument From Values
Retrocausality is possible in some interpretations of quantum physics.,Argument From Example
"Retrocausation provides a viable alternative to the problematic superdeterminism vs. 
action-at-a-distance debate by preserving local causation (link).",Argument From Expert Opinion
"The laws of physics, as we know them, are either deterministic or fundamentally random. In both cases,
 they are out of our control.",Argument From Cause to Effect
"The laws of physics are probabilistic, meaning that events and motivations merely change the distribution of possible 
outcomes and choices, but don't necessarily determine them.",Argument From Cause to Effect
"The Earth orbiting around the Sun was not compatible with our understanding of the mechanisms that govern the
 universe less than 500 years ago, yet is now accepted as fact.",Argument From Example
"If entropy leads to universal randomness and randomness is the lack of all deterministic forces, then at least one part 
of a wholly deterministic universe is false, meaning there most be something else influencing the universe outside 
of determinism.",Argument From Cause to Effect
"The inexistence of free will cannot be scientifically proven as it would be impossible to put two distinct human 
beings in exactly the same conditions twice and observe their decisions.",Argument From Cause to Effect
"Determinism based on physical causation inherits the philosophical doubt about causality expressed most famously 
by Hume: we can't in the end tell the difference between ""A causes B"" and ""A happens then B happens"".",Argument From Expert Opinion
"By Occam's Razor, the simplest explanation for the lack of empirical evidence for the existence of free will
 is that free will does not exist.",Argument From Expert Opinion
Free will and determinism are not mutually exclusive because freedom and weak forms of determinism are compatible.,Argument From Cause to Effect
"Compatiblism is a widely held position within the academic community, which suggests that it is plausible in many
 different forms.",Argument From Expert Opinion
The consensus among academics lends reasonable credibility to the accuracy of a position relative to the general public.,Argument From Expert Opinion
"Debating necessarily involves the implicit assumption that it's possible in principle to change the minds of others 
involved. This is only possible if the participants are free in some sense.",Argument From Example
"Computer programs can and have participated in a debate, yet lack free will.",Argument From Example
"Free will could be like gravity, which is a set of assumptions that are only supported by our observations of 
how they impact other things.",Argument From Analogy
"Current science falls short of explaining consciousness and personhood. Thus restricting the conversation to purely
 scientific description of the topic would leave the discussion incomplete.",Argument From Example
"Unknowns and incompleteness are not problematic for the scientific process.
 Despite not fully understanding what the force of gravity is, scientific studies and models remain useful.",Argument From Example
Life can't be given back. So the death penalty carries the risk of ruining innocent people lives.,Argument From Positive Consequences
Research has estimated that many death row inmates were wrongly convicted and could have been exonerated.,Argument From Expert Opinion
The death penalty negatively affects both the families of the victims as well as the defendant(s).,Argument From Positive Consequences
The death penalty does not sufficiently punish criminals as they will not experience the long-term struggles of imprisonment.,Argument From Positive Consequences
It is more humane to kill people than to restrain their liberty for life.,Argument From Alternatives
"Restraining liberty is done to protect the well-being of others. Once someone is restrained, the decision to live or die should be theirs alone.",Argument From Values
"Killing someone is irreversible, whereas someone in prison can always commit suicide.",Argument From Negative Consequences
"This manner of justice motivates and perpetuates violence and brutality. Death penalty often sends the wrong message âwe kill people to
 show that killing is wrongâ. If we are to advance as a society, then we have to move from the âan eye for an eyeâ revenge mentality.",Argument From Values
Death penalty is not applied fairly in all countries.,Argument From Positive Consequences
"The death penalty is often used in a disproportional manner against the poor, minorities and members of racial, ethnic, political and religious groups.",Argument From Expert Opinion
No person has the moral authority to determine that another person deserves to die.,Argument From Values
Some crimes deserve the death penalty.,Argument From Values
"This Capital punishment does not address the root cause of the crime. Our focus should be on preventing crime rather than killing criminals 
and supporting violence.",Argument From Alternatives
There are many examples of killing that are generally accepted as moral acts. Killing in battle is viewed as heroic.,Argument From Example
"The death penalty goes against our most basic human right, the right to life.",Argument From Values
"Since murder is justified in self defense, the right to life is not particularly sacred.",Argument From Analogy
It is cheaper for the society to execute people.,Argument From Positive Consequences
It is immoral to value saving resources at the cost of the life of a human being.,Argument From Values
"With due process, it is objectively more expensive to seek the death penalty rather than life imprisonment.",Argument From Positive Consequences
"If the death penalty was in regular use, improvements would be made and the cost would be lowered over time.",Argument From Alternatives
The death sentence provides an effective deterrent in terms of stopping other people from committing the same crime.,Argument From Positive Consequences
"Among the 25 states in the US with the highest murder rate, 20 have the death penalty.",Argument From Example
"In a study, 88.2% of criminology experts interviewed do not think that the death penalty deters murder.",Argument From Expert Opinion
Giving a killer the death sentence will ensure that they do not do it again and hence saves innocent lives.,Argument From Positive Consequences
Punishing people for crimes they might commit in the future is unethical.,Argument From Values
Long/life sentences already serve as a deterrent to crime.,Argument From Alternatives
"Properly restraining a criminal ensures others will be safe, killing them is unnecessary and hypocritical.",Argument From Alternatives
"Despite a wide variety of attempted measures, COVID-19 has continued to spread at a dangerous rate - vaccines are the best remaining option to protect and improve our lives.",Argument From Positive Consequences
"Vaccines have eradicated diseases in the past, like rinderpest and smallpox (p. 4).",Argument From Example
"During the SARS outbreak, strong public health measures were able to sufficiently stop the spread of the virus without requiring vaccination.",Argument From Alternatives
There has not been perfect enforcement of other measures. New Zealand's example proves that incidences of COVID-19 spread can be virtually eliminated without a vaccine.,Argument From Example
Vaccines are the least harmful way to mitigate the spread of COVID-19.,Argument From Positive Consequences
Maintaining social distancing measures long-term could have severe impacts on the global economy and exacerbate harms to marginalized communities.,Argument From Negative Consequences
Social distancing measures have an especially devastating impact on lives and livelihoods in developing countries.,Argument From Example
Technology and social innovations can help mitigate the harms of social distancing.,Argument From Cause to Effect
"Any COVID-19 vaccine produced is unlikely to undergo the level of clinical testing necessary to confirm it is both safe, and effective.",Argument From Cause to Effect
It is an infringement of the right to personal autonomy.,Argument From Values
"This would be unconstitutional based on freedom of privacy, and contrary to the constitutional principles arrived at in Roe vs Wade.",Argument From Expert Opinion
It is a duty of the state to protect its citizens from life-threatening diseases such as COVID-19.,Argument From Values
"There is already a precedent for the state passing laws governing bodily choices in the name of public safety, such as banning the use of methamphetamine.",Argument From Analogy
"In some places in the US, healthcare workers are required to get vaccinated against the seasonal flu or to provide a reason for exemption from their physician.",Argument From Example
Forcing citizens to undergo a medical procedure against their will increases mistrust in public institutions and increases the influence of the anti-vaccination movement.,Argument From Negative Consequences
The state should not mandate its citizens to undertake tasks that may carry a risk of harm.,Argument From Values
"Mandatory vaccinations can be enforced through non-state actors such as workplaces, stores and privately owned public spaces, which could require a proof of vaccination for entry.",Argument From Alternatives
"Airlines sometimes require ""fitness to fly"" certificate from passengers flying with them. This could be extended to include proof of immunization from COVID-19.",Argument From Analogy
The quickest and safest way to develop herd immunity is through a mandatory vaccination policy.,Argument From Expert Opinion
The possibility of reinfection has not yet been ruled out and would make attaining herd immunity practically impossible.,Argument From Cause to Effect
"Due to growing anti-vaccination sentiment, it is unlikely that the government will be able to enforce mandatory vaccinations.",Argument From Cause to Effect
Attaching vaccine requirements to attend schools or daycares have been shown to significantly increase the vaccination rate to herd immunity levels in the US (p. 269).,Argument From Example
Providing vaccinations to an entire population requires huge amounts of resources which can otherwise be used towards addressing more urgent public health issues.,Argument From Alternatives
"Governments have given billions of taxpayers dollars to different drug companies to make the COVID-19 vaccine, much of which could be wasted if the vaccine doesn't work.",Argument From Negative Consequences
"COVID-19 is the most urgent public health issue at the moment, and should therefore have priority.",Argument From Values
Mandatory vaccine policies have proved extremely helpful in the fight against other preventable illnesses.,Argument From Analogy
A mandatory vaccine policy would vastly increase already present inequalities in medical treatment.,Argument From Negative Consequences
Differences over how to distribute the vaccine in a mandatory system will lead to some people being prioritized over others.,Argument From Cause to Effect
"A mandatory vaccine policy would It will be easier for rich countries to access, produce and distribute COVID-19 vaccines. These countries will therefore recover faster from the pandemic. 
This will increase existing inequality in public health and economy between rich and poor countries.greatly increase competition between countries for supply, increasing the already inequitable distribution of vaccines throughout the world.",Argument From Cause to Effect
Mandatory vaccination could result in rich countries hoarding vaccines for their population. This could make vaccines inaccessible or unaffordable for poorer countries.,Argument From Cause to Effect
"A study of European countries discovered, ""Those [countries] where a vaccination is mandatory do not usually reach better coverage than neighbour or similar countries where there is no legal obligation.""",Argument From Expert Opinion
"While the United States has been relatively prosperous and successful for centuries, countries that presented themselves as 
alternatives to Capitalism dissolved, for example the Soviet Union.",Argument From Example
"Capitalism is the only economic system that allows individuals to be independent and autonomous in acting socially and
economically without the intrusion of government.",Argument From Positive Consequences
"Capitalism, by virtue of the free market and a general lack of state intervention, enables more freedom than any comparable systems.",Argument From Positive Consequences
"One of the foundations of capitalism is the idea that transactions should be voluntary and not imposed, as is the case for
 government-mandated taxes.",Argument From Values
Capitalism puts people under constant stress through the way it structures life.,Argument From Negative Consequences
"Even though it causes stress, capitalism may still cause less stress than any alternative system.",Argument From Alternatives
"Capitalism is based upon free trade, which has been found to make people nicer.",Argument From Expert Opinion
Capitalism promotes co-operation.,Argument From Values
"Capitalism in its most basic form (the use of a common mean of value to make a trade) is morally neutral, because it's neither
 good nor bad.",Argument From Values
"Capitalism, by virtue of being the system which most closely adheres to natural selection, is the most moral system.",Argument From Values
"This is the naturalistic fallacy. By this reasoning, rape and murder are moral because they are also natural.",Argument From Analogy
Capitalism inevitably leads to various forms of exploitation.,Argument From Negative Consequences
"Capitalism does not take externalities into account, many of which are devastating to both people and the environment.",Argument From Negative Consequences
Pollution and the usage of fossil fuels would be examples of this.,Argument From Example
Capitalism treats people as equals.,Argument From Values
"And neither in risk. If the company fails the employee only loses their job, while the employer might lose their entire life savings
 and go bankrupt.",Argument From Values
"Losing one's job has a higher probability of leading to bankruptcy, homelessness and starvation than losing one's business.",Argument From Example
"Capitalism, more than any other system put into thought or action, helps the poor.",Argument From Positive Consequences
Incentivizing moral behavior is de facto an ok thing to do because it causes more moral behavior to take place.,Argument From Positive Consequences
Bought morality is not morality. Incentivising moral behavior reduces ethics to the category of compliance.,Argument From Negative Consequences
"By reducing ethics to behavioral inducements, the system devalues the ethicality of all actions, regardless of their objective desirability. Source",Argument From Negative Consequences
Being paid to behave morally is not the right reason to do so.,Argument From Values
"A person may do the right thing without an incentive being necessary, however it may be perceived as just an added perk.",Argument From Cause to Effect
Paying someone for morality is like paying a bribe.,Argument From Analogy
"Since what is morally correct is subjective, incentivising morally correct behaviour is no different that incentivising morally incorrect behavior.",Argument From Analogy
"Using a promotion as an incentive for treating customers well can help a business's reputation, thus making it mutually beneficial.",Argument From Positive Consequences
"Rewarding customer service employees, for example, may improve the quality of service provided to customers. This can then create a favorable reputation for the business.",Argument From Example
Morality is not objectively measurable so incentivising it effectively is not possible.,Argument From Cause to Effect
A group of people (e.g. an ethics committee) could be a good judge.,Argument From Example
Morality is objective.  (link to other kialo debate),Argument From Expert Opinion
"One can measure certain good deeds quantitatively, such as the amount of money donated or the number of people helped over the street.",Argument From Example
The intrinsic value of morality is lower than the practical value of ensuring consistent moral behaviour throughout society.,Argument From Values
Societies do not punish people that would love to steal something but aren't capable of executing the heist.,Argument From Analogy
Moral behaviour is relative; sociologically driven reinforcement of 'correct' behaviour is helpful.,Argument From Values
Moral behaviour is not something which is inherent to human beings and needs to be taught. Helping people improve their moral behaviour should therefore be commended.,Argument From Values
"Children are taught the difference between right and wrong by their parents. Without this guidance, they would behave in a manner that is more in alignment with instinct than moral correctness.",Argument From Cause to Effect
Moral behavior's inherency to human nature is irrelevant to whether or not incentivizing moral behavior is good.,Argument From Values
"The only one that can properly evaluate the morality of an action is the person performing the action.
Therefore, incentivising the behaviour can only be done subjectively.
",Argument From Cause to Effect
"Some people get to be known for their moral attitude and impactful choices not only by themselves and their colleagues, but also get recognised as morally good by wider population. Virtue of those could be easily recognised and rewarded.",Argument From Values
Not being punished for rule-breaking and enjoying the liberties and benefits of not being incarcerated are equivalent to directly incentivizing good behavior.,Argument From Analogy
"As incentives are usually scarce, this will lead to competition. People competing for morality is not ok.",Argument From Cause to Effect
Competition means you can either make yourself look good or others look bad. This is not good for overall morality.,Argument From Values
Incentivising moral behaviour sends a clear message that morality is valued.,Argument From Cause to Effect
Behaving ethically should be the âticket of admissionâ for even having a job Source,Argument From Expert Opinion
Incentivising moral behavior is the easiest way to get people to do the right thing.,Argument From Positive Consequences
"If doing the right thing is costly, it would be good to compensate.",Argument From Positive Consequences
Whistle-blowers often pay a high price for doing the right thing. This is very discouraging for other potential whistle-blowers. Compensation would mitigate this effect.,Argument From Example
The perspective of compensation might encourage false cases of whistle-blowing.,Argument From Negative Consequences
It might make whistle-blowing an interesting tool for employees who hold a grudge against their employer.,Argument From Negative Consequences
A one-size-fits-all prescription to good health is both ideologically and practically dangerous.,Argument From Values
"The UK government has made exceptions to the rule requiring masks for specific groups of people.
 This is an acknowledgement of the practical dangers of a one-size-fits-all prescription.",Argument From Cause to Effect
It is not reasonable for everyone to wear masks.,Argument From Values
"For people with certain underlying conditions and medical considerations, mask wearing is not possible.",Argument From Cause to Effect
"Many rape survivors, for whom wearing a mask can trigger trauma and flashbacks, are being stigmatized for not wearing masks.",Argument From Example
"Mandating mask-wearing during a pandemic is like mandating safety/hand brakes on a car. It may never be required
 but is in everyoneâs interest that it is there and working if it is required.",Argument From Analogy
COVID-19 is universally transmitted through infected secretions and through respiratory droplets. ,Argument From Cause to Effect
"During a world pandemic, it is important to be guided by those who are more informed than we are.",Argument From Values
"While certain attributes of the virus are still being investigated, the overwhelming consensus is that the wearing of masks will limit the spread of the virus.",Argument From Expert Opinion
Educating people will more effectively guide them to make responsible decisions regarding mask-wearing.,Argument From Alternatives
"Mandatory face mask wearing, and the undercutting of people's rights not to wear one, provoked protests in Spain.",Argument From Example
"In many places, such as Florida, mask wearing is not mandatory, and yet there have been protests 
(https://abc7news.com/viral-target-anti-mask-video-protesters-parade-around-store-demand-customers-remove-face-masks-rant-caught-on/6428893/).",Argument From Example
"Most anti-maskers are not educated on the benefits of wearing masks; whereas government officials 
and researchers who recommend masks to the point of making it mandatory are much more informed.",Argument From Expert Opinion
Statistical modeling studies of mortality rate shows that masks significantly reduce the loss of life.,Argument From Expert Opinion
Wearing facemasks help prevent the spread of COVID-19.,Argument From Positive Consequences
A systematic review of 172 studies revealed that masks are effective at protecting people form COVID-19.,Argument From Expert Opinion
"Now that research has demonstrated its definite benefits, the CDC website officially recommends that masks be worn.",Argument From Expert Opinion
People's choice to not wear a mask must be respected.,Argument From Values
People have the right to bodily autonomy and integrity. They should not be forced to wear masks if they don't wish to.,Argument From Values
"The Jacobsen v. Massachusetts case in the US shows that masks do not violate the constitutional right to bodily integrity 
because they are required to protect public health.",Argument From Expert Opinion
This right to bodily autonomy is not without limits. Prostitution is illegal in many countries.,Argument From Example
"The government has a moral obligation to reasonably restrict personal choices, especially ones that harm the public good.",Argument From Values
Not wearing a mask can constitute self-harm and the state is obligated to prevent such harm by limiting choice.,Argument From Analogy
"Individual choice of clothing is already restricted by laws prohibiting ""indecent exposure"", so it is not uncommon that the government regulates 
what people are allowed to wear (or not wear).",Argument From Analogy
"If people's choices cause harm to other people, their choices should be restricted.",Argument From Values
It is very well accepted that certain liberties should be curtailed where they would affect other people - consider the illegality of murder and theft.,Argument From Analogy
"For most people, wearing a mask poses no risk. It is therefore justified that people are required to wear a mask 
since it does no harm to people wearing them but reduces harm for others and oneself.",Argument From Positive Consequences
"Public health has long been used as a justification to curtail civil liberties, such as mandatory quarantine for those with yellow fever in 1799.",Argument From Example
Many people do not wear facemasks properly. This could increase the risk of infection to oneself or others.,Argument From Negative Consequences
A study has shown that people wearing a mask are less likely to touch their faces than those who don't wear a mask.,Argument From Expert Opinion
"Even if some people wear masks incorrectly, the net effect of wearing masks is still positive.",Argument From Positive Consequences
Even the WHO advice on masks has changed over time.,Argument From Example
Schools should close during the Covid-19 pandemic because that would reduce the rate of infection of Covid-19.,Argument From Positive Consequences
Schools canÂ reduce cohort sizesÂ to decrease the chances of widespread Covid-19 transmission.,Argument From Expert Opinion
School closures negatively impact students' academic performance.,Argument From Negative Consequences
"A study showed that, when students return to school, they will only haveÂ 63 to 68% of the learning gains in reading and 37 to 50% of the learning
 gains in mathematicsÂ relative to the average school year.",Argument From Expert Opinion
AÂ studyÂ found that students learn better when studying from home.,Argument From Expert Opinion
Remote learningÂ is a good substitute for in-person education.,Argument From Expert Opinion
"First of all, school closures reduce the risk of illness. And it hardly affects the quality of education (at school) or, on the contrary, improves, because you can watch webinars.",Argument From Positive Consequences
Many students have been thriving in remote education due to theÂ ability to self-pace.,Argument From Example
Online schooling does not allow for an accurate assessment of the progress of students.,Argument From Negative Consequences
Students in remote learning programs tend to score lower than those engaging in in-person education.,Argument From Negative Consequences
Schools are critical for the social development of students.,Argument From Negative Consequences
Students can take part in social activities online.,Argument From Alternatives
"KidsÂ don't play a significant role in the spreadÂ of Covid-19. Therefore, closing schools will not significantly reduce the spread of the virus.",Argument From Cause to Effect
Students can wear masks and practise social distancing to reduce the rate of infection.,Argument From Alternatives
Schools can reduce cohort sizes to decrease the chances of widespread Covid-19 transmission.,Argument From Alternatives
A study found that Covid-19 cases in schools were 37% less than the ones in the surrounding community.,Argument From Expert Opinion
"Scientists showed that 1 in 3 people that have COVID-19 won't show symptoms, and would thus continue to go outside and spread the virus without even knowing.",Argument From Expert Opinion
Schools can reduce cohort sizes to decrease the chances of widespread Covid-19 transmission.,Argument From Alternatives
It is much more difficult to ensure that students are present and engaged in classes when they are conducted remotely.,Argument From Negative Consequences
90% of teachers surveyed in May 2020 in the US said that remote attendance did not approach normal attendance levels.,Argument From Example
Data suggested that only 60 percent of low-income students were regularly logging into online instruction early in the Covid-19 pandemic.,Argument From Example
Attendance is difficult to monitor when classes are conducted remotely.,Argument From Cause to Effect
Students can ignore classes and leave them running in the background while they do other activities.,Argument From Example
This [30] can be avoided by requiring students to turn on their cameras.,Argument From Example
Students may not have enough personal space to be able to turn on their cameras comfortably.,Argument From Example
Students may not have stable enough (or any) internet connections for them to switch on their cameras.,Argument From Example
Students can get the materials for their school work via the computer.,Argument From Example
Only 54% of the global population has access to the internet (p. 8).,Argument From Expert Opinion
"In the US, 4.4 million students cannot consistently access computers and thus, online learning.",Argument From Expert Opinion
Many governments are taking measures to improve internet access for students.,Argument From Example
"In order to improve access to the internet, the government of Panama made the internet free for four months (p. 4).",Argument From Example
School isn't just about materials alone but also about personal contact and interaction.,Argument From Values
A decline in the quality of assessment is detrimental may result in a student's abilities to be misrepresented and thus may harm their future educational prospects.,Argument From Negative Consequences
Students won't get help for exams. Students that are in low sets and need help from the teachers for every lesson will have no help with exam preparation and would go into the exam without any help.,Argument From Example
There are multiple online assessment methods that can be combined in order to accurately track the progress of students.,Argument From Alternatives
School closures are detrimental to students' well-being.,Argument From Negative Consequences
"Schools provide important benefits for students, particularly those from low-income families, that would be disrupted by school closures.",Argument From Negative Consequences
School closures have been linked to an increase in child marriages across the world.,Argument From Negative Consequences
"School closures disrupt students' routines, increase rates of anxiety and depression among them.",Argument From Negative Consequences
Contracting Covid-19 or spreading it to family members would be worse for a student's well-being.,Argument From Alternatives
It is unethical to employ people without economic compensation.,Argument From Values
Unpaid internships are an unfair way to replace paid workers.,Argument From Values
"The UN Declaration of Human Rights, Article 23 (3) states: âEveryone who works has the right to just and favourable remuneration.â",Argument From Expert Opinion
"In the long run, the experience gained from an unpaid internship can lead one to have a career where they earn more money.",Argument From Positive Consequences
"In the UK, people who have done unpaid internships have a higher average salary than those who have not (Sutton Trust, pp. 44-45).",Argument From Example
"Those people who have done paid internships gain an ever higher salary than those who have done unpaid internships (Sutton Trust, pp. 44-45). Therefore in 
terms of best promoting individual's longer-term salary, ideally unpaid internships would be banned and everyone would do paid internships.",Argument From Example
"There may never be enough paid internships to go around. Therefore if unpaid internships were banned, some people would never be able to gain the long-term benefits of an internship.",Argument From Negative Consequences
Banning unpaid internships would not necessarily mean they would be replaced with paid internships meaning there would be less opportunities existing.,Argument From Negative Consequences
People choose to opt into internships. If they feel it is in their interests they should be free to choose to do so.,Argument From Values
Unpaid internships lower the value placed on work done by other paid interns and entry level workers.,Argument From Values
When work is done without payment it makes similar work seem worth less.,Argument From Values
Where work is seen as less valuable this drives wages for those jobs down.,Argument From Cause to Effect
Unpaid internships have replaced many entry-level jobs.,Argument From Cause to Effect
Changing paid jobs for unpaid internships is harmful for the economy since those positions should have paid taxes.,Argument From Negative Consequences
"Many paid or unpaid internships are never advertised and instead offered through informal networks, which encourages nepotism.",Argument From Cause to Effect
72% of privileged young adults in the UK admit they secured their internships through family connections.,Argument From Example
This [24] is not sufficient reason to ban unpaid internships. It is only sufficient reason to regulate them such that they must be allocated on the basis of merit.,Argument From Alternatives
There are more effective methods to deal with the problems of unpaid internships than a ban.,Argument From Alternatives
"Governments could introduce regulations to ensure that unpaid interns are entitled to the same rights as employees in relation to discrimination, harassment and working conditions.",Argument From Positive Consequences
Governments could cap the length of unpaid internships.,Argument From Expert Opinion
"Effectiveness is not the only measure to consider. Other methods may be more difficult or more expensive to implement, may be easier to bypass, or come with undesirable collateral effects.",Argument From Alternatives
Unpaid internships are a barrier to greater social equality in society.,Argument From Negative Consequences
Unpaid internships are a barrier to social mobility.,Argument From Cause to Effect
Unpaid internships serve as a mechanism for wealthier individuals to maintain socio-economic class advantage.,Argument From Negative Consequences
